model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-1.5b,warm,0.7,15,0.12141299247741699,9.27623347815853,12.195005178451538,1948.45703125,292.0226003353124,78.91627868852457,60,1,,111,112,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_5.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_5_final.txt
qwen2.5-1.5b,warm,0.7,16,0.13454818725585938,9.274091290956704,12.64255690574646,1954.1171875,291.7185519480828,79.3291428571428,62,1,,115,116,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_6.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_6_final.txt
qwen2.5-1.5b,warm,0.7,17,0.13053512573242188,9.317937788680005,9.359850645065308,1959.77734375,291.53712933240087,79.42172340425522,46,1,,85,86,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_7.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_7_final.txt
qwen2.5-1.5b,warm,0.7,18,0.11880731582641602,9.266825229021364,13.499867677688599,1959.77734375,291.7884776403348,79.50172058823527,67,1,,123,124,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_8.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_8_final.txt
qwen2.5-1.5b,warm,0.7,19,0.13621187210083008,9.334771191666643,8.920564889907837,1965.953125,291.89652880709457,79.68662222222217,44,1,,81,82,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_9.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_9_final.txt
qwen2.5-1.5b,warm,0.7,20,0.11606740951538086,9.326702348824684,10.087749719619751,1965.953125,292.34835565255054,79.73247058823522,50,1,,92,93,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_10.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_10_final.txt
qwen2.5-1.5b,warm,0.7,21,0.12069249153137207,9.286789769915977,6.689298152923584,1942.03125,289.1157591503253,76.99061764705877,33,1,,60,61,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_1.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_1_final.txt
qwen2.5-1.5b,warm,0.7,22,0.11823463439941406,9.25112108279913,15.143540859222412,1942.03125,291.7581086390023,77.93076315789455,75,1,,138,139,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_2.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_2_final.txt
qwen2.5-1.5b,warm,0.7,23,0.13542747497558594,9.357340390959799,8.043699502944946,1948.45703125,292.01722003966256,78.538,39,1,,73,74,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_3.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_3_final.txt
qwen2.5-1.5b,warm,0.7,24,0.12285709381103516,9.305407372223998,10.117021799087524,1948.45703125,291.9259236505062,78.55609803921568,50,1,,92,93,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_4.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_4_final.txt
qwen2.5-1.5b,warm,0.7,25,0.12141299247741699,9.27623347815853,12.195005178451538,1948.45703125,292.0226003353124,78.91627868852457,60,1,,111,112,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_5.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_5_final.txt
qwen2.5-1.5b,warm,0.7,26,0.13454818725585938,9.274091290956704,12.64255690574646,1954.1171875,291.7185519480828,79.3291428571428,62,1,,115,116,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_6.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_6_final.txt
qwen2.5-1.5b,warm,0.7,27,0.13053512573242188,9.317937788680005,9.359850645065308,1959.77734375,291.53712933240087,79.42172340425522,46,1,,85,86,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_7.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_7_final.txt
qwen2.5-1.5b,warm,0.7,28,0.11880731582641602,9.266825229021364,13.499867677688599,1959.77734375,291.7884776403348,79.50172058823527,67,1,,123,124,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_8.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_8_final.txt
qwen2.5-1.5b,warm,0.7,29,0.13621187210083008,9.334771191666643,8.920564889907837,1965.953125,291.89652880709457,79.68662222222217,44,1,,81,82,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_9.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_9_final.txt
qwen2.5-1.5b,warm,0.7,30,0.11606740951538086,9.326702348824684,10.087749719619751,1965.953125,292.34835565255054,79.73247058823522,50,1,,92,93,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_10.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_10_final.txt
