model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-3b,warm,1.0,4,1.5018479824066162,6.065305833769239,10.56981611251831,383.88671875,7.571060181520401,53.38860377358485,52,1,,55,55,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_4.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_4_final.txt
qwen2.5-3b,warm,1.0,5,1.4568588733673096,6.062157032018848,9.704748153686523,384.65625,7.4812275376869835,53.53965306122445,48,1,,50,50,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_5.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_5_final.txt
qwen2.5-3b,warm,1.0,6,1.474550485610962,6.0732742305933565,8.884062767028809,375.6953125,8.72837832019551,53.594488888888854,44,1,,45,45,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_6.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_6_final.txt
qwen2.5-3b,warm,1.0,7,1.6646041870117188,6.0391754833581945,9.447123527526855,418.9453125,9.83763557515614,53.55731249999996,47,1,,47,47,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_7.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_7_final.txt
qwen2.5-3b,warm,1.0,8,1.4926536083221436,6.044574230913862,8.937346696853638,370.484375,8.383679350474036,53.614999999999974,44,1,,45,45,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_8.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_8_final.txt
qwen2.5-3b,warm,1.0,9,1.6224443912506104,6.039376700274482,8.742384433746338,421.9375,10.15096851705367,53.59402272727271,43,1,,43,43,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_9.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_9_final.txt
qwen2.5-3b,warm,1.0,10,1.5322468280792236,6.061551212529477,9.451011896133423,370.3828125,8.376589713032875,53.61499999999996,47,1,,48,48,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_10.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_10_final.txt
qwen2.5-3b,warm,1.0,1,1.5226058959960938,6.066962999383223,8.939826011657715,283.28125,8.909782609313536,52.63046666666667,44,1,,45,45,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_1.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_1_final.txt
qwen2.5-3b,warm,1.0,2,1.5830001831054688,6.048839802542484,9.353085279464722,380.1875,9.42716502705233,52.71163829787234,46,1,,47,47,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_2.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_2_final.txt
qwen2.5-3b,warm,1.0,3,1.528505802154541,6.040848191010238,8.977790832519531,383.96875,9.060126628940706,53.04068888888887,44,1,,45,45,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_3.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_3_final.txt
qwen2.5-3b,warm,1.0,4,1.5018479824066162,6.065305833769239,10.56981611251831,383.88671875,7.571060181520401,53.38860377358485,52,1,,55,55,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_4.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_4_final.txt
qwen2.5-3b,warm,1.0,5,1.4568588733673096,6.062157032018848,9.704748153686523,384.65625,7.4812275376869835,53.53965306122445,48,1,,50,50,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_5.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_5_final.txt
qwen2.5-3b,warm,1.0,6,1.474550485610962,6.0732742305933565,8.884062767028809,375.6953125,8.72837832019551,53.594488888888854,44,1,,45,45,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_6.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_6_final.txt
qwen2.5-3b,warm,1.0,7,1.6646041870117188,6.0391754833581945,9.447123527526855,418.9453125,9.83763557515614,53.55731249999996,47,1,,47,47,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_7.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_7_final.txt
qwen2.5-3b,warm,1.0,8,1.4926536083221436,6.044574230913862,8.937346696853638,370.484375,8.383679350474036,53.614999999999974,44,1,,45,45,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_8.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_8_final.txt
qwen2.5-3b,warm,1.0,9,1.6224443912506104,6.039376700274482,8.742384433746338,421.9375,10.15096851705367,53.59402272727271,43,1,,43,43,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_9.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_9_final.txt
qwen2.5-3b,warm,1.0,10,1.5322468280792236,6.061551212529477,9.451011896133423,370.3828125,8.376589713032875,53.61499999999996,47,1,,48,48,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_10.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_10_final.txt
