model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-3b,warm,0.0,6,0.12149858474731445,9.143476413648033,11.386155366897583,3754.359375,327.4368539261868,73.0,56,1,,102,103,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_6.log,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_6_final.txt
qwen2.5-3b,warm,0.0,7,0.12342023849487305,9.144619403603903,11.386649370193481,3754.359375,327.32920099346563,73.48578947368412,56,1,,102,103,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_7.log,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_7_final.txt
qwen2.5-3b,warm,0.0,8,0.11925864219665527,9.129657355095718,11.400956392288208,3754.359375,327.1837115608154,73.90680701754376,56,1,,102,103,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_8.log,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_8_final.txt
qwen2.5-3b,warm,0.0,9,0.12489557266235352,9.139101111731723,11.39500117301941,3754.359375,327.29743666537763,73.92299999999989,56,1,,102,103,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_9.log,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_9_final.txt
qwen2.5-3b,warm,0.0,10,0.12385916709899902,9.133516583007793,11.40073037147522,3754.359375,327.34163764543877,74.00396491228062,56,1,,102,103,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_10.log,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_10_final.txt
qwen2.5-3b,warm,0.0,1,0.12745904922485352,9.140974685268699,11.395079612731934,3754.359375,326.9947355822202,68.35161403508766,56,1,,102,103,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_1.log,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_1_final.txt
qwen2.5-3b,warm,0.0,2,0.1207430362701416,9.114654656796528,11.421006441116333,3754.359375,326.55958503798223,70.08426315789474,56,1,,102,103,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_2.log,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_2_final.txt
qwen2.5-3b,warm,0.0,3,0.12777471542358398,9.133888348590325,11.404330253601074,3754.359375,326.9733505530611,71.20157894736836,56,1,,102,103,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_3.log,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_3_final.txt
qwen2.5-3b,warm,0.0,4,0.12261795997619629,9.149927333586806,11.379351377487183,3754.359375,327.35226165308853,72.1084561403509,56,1,,102,103,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_4.log,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_4_final.txt
qwen2.5-3b,warm,0.0,5,0.11988067626953125,9.132652486701572,11.397873163223267,3754.359375,327.18393580227297,72.65957894736843,56,1,,102,103,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_5.log,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_5_final.txt
qwen2.5-3b,warm,0.0,6,0.12149858474731445,9.143476413648033,11.386155366897583,3754.359375,327.4368539261868,73.0,56,1,,102,103,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_6.log,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_6_final.txt
qwen2.5-3b,warm,0.0,7,0.12342023849487305,9.144619403603903,11.386649370193481,3754.359375,327.32920099346563,73.48578947368412,56,1,,102,103,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_7.log,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_7_final.txt
qwen2.5-3b,warm,0.0,8,0.11925864219665527,9.129657355095718,11.400956392288208,3754.359375,327.1837115608154,73.90680701754376,56,1,,102,103,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_8.log,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_8_final.txt
qwen2.5-3b,warm,0.0,9,0.12489557266235352,9.139101111731723,11.39500117301941,3754.359375,327.29743666537763,73.92299999999989,56,1,,102,103,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_9.log,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_9_final.txt
qwen2.5-3b,warm,0.0,10,0.12385916709899902,9.133516583007793,11.40073037147522,3754.359375,327.34163764543877,74.00396491228062,56,1,,102,103,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_10.log,/dev/shm/results_cpu_pinning/cpu_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_0_10_final.txt
