model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
16,warm,0.7,6,1.9666056632995605,3.784171599190603,32.35634803771973,399.7421875,3.509602541419595,54.572397515527925,160,1,,115,115,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_6.log,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_6_final.txt
17,warm,0.7,7,1.7868454456329346,3.77893055742684,30.10173463821411,357.1484375,3.2555041509433513,53.92473154362404,148,1,,107,107,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_7.log,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_7_final.txt
18,warm,0.7,8,1.7520055770874023,3.7707646610746455,36.49296975135803,357.02734375,2.648213718239605,53.80877900552472,180,1,,131,131,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_8.log,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_8_final.txt
19,warm,0.7,9,1.7651751041412354,3.7869624288568375,32.66064929962158,357.04296875,2.83664001920788,53.60360493827146,161,1,,117,117,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_9.log,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_9_final.txt
20,warm,0.7,10,1.7574412822723389,3.7680383783816156,40.76978278160095,357.0390625,2.3474762939741134,53.46421287128696,201,1,,147,147,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_10.log,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_10_final.txt
21,warm,0.7,1,1.779085397720337,3.7574853599377693,34.51374387741089,278.51171875,2.7898434995920036,50.98633918128647,170,1,,123,123,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_1.log,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_1_final.txt
22,warm,0.7,2,1.7477822303771973,3.7844121950867753,52.21797156333923,278.51171875,1.9681439431744905,52.5918294573641,257,1,,191,191,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_2.log,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_2_final.txt
23,warm,0.7,3,0.7585062980651855,3.672634490297712,32.61574673652649,278.51171875,2.864497445130711,52.88001851851844,161,1,,117,117,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_3.log,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_3_final.txt
24,warm,0.7,4,1.7710011005401611,3.760679070693629,31.021037578582764,278.5390625,3.0272914659952552,52.94972077922073,153,1,,110,110,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_4.log,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_4_final.txt
25,warm,0.7,5,1.7583634853363037,3.762206292512842,33.388739585876465,278.54296875,2.8301433091936232,53.509355421686635,165,1,,119,119,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_5.log,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_5_final.txt
26,warm,0.7,6,1.9666056632995605,3.784171599190603,32.35634803771973,399.7421875,3.509602541419595,54.572397515527925,160,1,,115,115,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_6.log,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_6_final.txt
27,warm,0.7,7,1.7868454456329346,3.77893055742684,30.10173463821411,357.1484375,3.2555041509433513,53.92473154362404,148,1,,107,107,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_7.log,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_7_final.txt
28,warm,0.7,8,1.7520055770874023,3.7707646610746455,36.49296975135803,357.02734375,2.648213718239605,53.80877900552472,180,1,,131,131,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_8.log,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_8_final.txt
29,warm,0.7,9,1.7651751041412354,3.7869624288568375,32.66064929962158,357.04296875,2.83664001920788,53.60360493827146,161,1,,117,117,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_9.log,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_9_final.txt
30,warm,0.7,10,1.7574412822723389,3.7680383783816156,40.76978278160095,357.0390625,2.3474762939741134,53.46421287128696,201,1,,147,147,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_10.log,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_10_final.txt
