model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-3b,warm,0.5,4,1.595813274383545,6.057239150620891,8.859848737716675,352.30078125,9.852585401613105,52.44586666666666,44,1,,44,44,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_4.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_4_final.txt
qwen2.5-3b,warm,0.5,5,1.5276615619659424,6.073527835954428,11.241949796676636,351.59765625,7.314768703193063,52.659035714285714,55,1,,59,59,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_5.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_5_final.txt
qwen2.5-3b,warm,0.5,6,1.5766379833221436,6.061562924386883,9.16543984413147,357.4921875,9.486822014548753,52.83245652173911,45,1,,46,46,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_6.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_6_final.txt
qwen2.5-3b,warm,0.5,7,1.5391395092010498,6.052425314970631,8.643729448318481,359.8671875,9.382445709205237,53.1325227272727,43,1,,43,43,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_7.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_7_final.txt
qwen2.5-3b,warm,0.5,8,1.5704963207244873,6.057053675989311,8.999850988388062,357.4921875,9.69024184073474,53.307333333333304,44,1,,45,45,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_8.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_8_final.txt
qwen2.5-3b,warm,0.5,9,1.633821964263916,6.059960582047801,9.554665565490723,351.640625,9.43098357087885,53.44193749999996,47,1,,48,48,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_9.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_9_final.txt
qwen2.5-3b,warm,0.5,10,1.4604806900024414,6.026330406072369,8.927711486816406,357.4921875,8.27633253952165,53.594488888888854,44,1,,45,45,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_10.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_10_final.txt
qwen2.5-3b,warm,0.5,1,1.5368156433105469,6.068544131546754,9.611239910125732,273.19140625,8.472220779538437,50.63447916666666,47,1,,49,49,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_1.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_1_final.txt
qwen2.5-3b,warm,0.5,2,1.6388375759124756,6.010253086778287,9.12604308128357,273.21875,9.928647609630596,51.447956521739094,45,1,,45,45,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_2.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_2_final.txt
qwen2.5-3b,warm,0.5,3,1.566333293914795,6.054229059670226,8.668806552886963,339.62109375,9.827305670804972,52.08365909090908,43,1,,43,43,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_3.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_3_final.txt
qwen2.5-3b,warm,0.5,4,1.595813274383545,6.057239150620891,8.859848737716675,352.30078125,9.852585401613105,52.44586666666666,44,1,,44,44,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_4.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_4_final.txt
qwen2.5-3b,warm,0.5,5,1.5276615619659424,6.073527835954428,11.241949796676636,351.59765625,7.314768703193063,52.659035714285714,55,1,,59,59,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_5.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_5_final.txt
qwen2.5-3b,warm,0.5,6,1.5766379833221436,6.061562924386883,9.16543984413147,357.4921875,9.486822014548753,52.83245652173911,45,1,,46,46,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_6.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_6_final.txt
qwen2.5-3b,warm,0.5,7,1.5391395092010498,6.052425314970631,8.643729448318481,359.8671875,9.382445709205237,53.1325227272727,43,1,,43,43,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_7.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_7_final.txt
qwen2.5-3b,warm,0.5,8,1.5704963207244873,6.057053675989311,8.999850988388062,357.4921875,9.69024184073474,53.307333333333304,44,1,,45,45,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_8.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_8_final.txt
qwen2.5-3b,warm,0.5,9,1.633821964263916,6.059960582047801,9.554665565490723,351.640625,9.43098357087885,53.44193749999996,47,1,,48,48,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_9.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_9_final.txt
qwen2.5-3b,warm,0.5,10,1.4604806900024414,6.026330406072369,8.927711486816406,357.4921875,8.27633253952165,53.594488888888854,44,1,,45,45,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_10.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_10_final.txt
