model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-3b,warm,0.5,4,1.7031567096710205,5.063988166309427,11.971743106842041,286.95703125,6.928801719747306,59.15299999999992,59,1,,52,52,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_4.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_4_final.txt
qwen2.5-3b,warm,0.5,5,1.6735711097717285,5.06284358423958,9.77178692817688,287.2109375,8.381163399212694,59.15299999999995,48,1,,41,41,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_5.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_5_final.txt
qwen2.5-3b,warm,0.5,6,1.696333885192871,5.064094084890474,10.779893398284912,408.13671875,7.6158493547157855,59.20427777777771,53,1,,46,46,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_6.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_6_final.txt
qwen2.5-3b,warm,0.5,7,1.6881475448608398,5.078465115103937,10.549092531204224,366.015625,7.759082351385477,59.187830188679186,52,1,,45,45,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_7.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_7_final.txt
qwen2.5-3b,warm,0.5,8,1.6811025142669678,5.065004911706622,12.145060777664185,366.015625,6.701202816691702,59.15299999999992,60,1,,53,53,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_8.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_8_final.txt
qwen2.5-3b,warm,0.5,9,1.7137572765350342,5.051524329437538,10.621959447860718,366.01171875,7.739625140235768,59.187830188679186,52,1,,45,45,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_9.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_9_final.txt
qwen2.5-3b,warm,0.5,10,1.6488075256347656,5.056704068621221,11.932185649871826,366.015625,6.845116170698745,59.16838333333325,59,1,,52,52,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_10.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_10_final.txt
qwen2.5-3b,warm,0.5,1,1.7036449909210205,5.070469801272031,10.578562259674072,277.9296875,7.9294983766575715,58.85694339622636,52,1,,45,45,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_1.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_1_final.txt
qwen2.5-3b,warm,0.5,2,1.6800479888916016,5.0699338225054795,11.344868421554565,287.1875,7.095903403674153,59.120614035087655,56,1,,49,49,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_2.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_2_final.txt
qwen2.5-3b,warm,0.5,3,1.6987199783325195,5.063175252355763,11.968955039978027,286.953125,6.986611630951403,59.13761666666658,59,1,,52,52,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_3.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_3_final.txt
qwen2.5-3b,warm,0.5,4,1.7031567096710205,5.063988166309427,11.971743106842041,286.95703125,6.928801719747306,59.15299999999992,59,1,,52,52,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_4.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_4_final.txt
qwen2.5-3b,warm,0.5,5,1.6735711097717285,5.06284358423958,9.77178692817688,287.2109375,8.381163399212694,59.15299999999995,48,1,,41,41,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_5.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_5_final.txt
qwen2.5-3b,warm,0.5,6,1.696333885192871,5.064094084890474,10.779893398284912,408.13671875,7.6158493547157855,59.20427777777771,53,1,,46,46,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_6.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_6_final.txt
qwen2.5-3b,warm,0.5,7,1.6881475448608398,5.078465115103937,10.549092531204224,366.015625,7.759082351385477,59.187830188679186,52,1,,45,45,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_7.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_7_final.txt
qwen2.5-3b,warm,0.5,8,1.6811025142669678,5.065004911706622,12.145060777664185,366.015625,6.701202816691702,59.15299999999992,60,1,,53,53,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_8.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_8_final.txt
qwen2.5-3b,warm,0.5,9,1.7137572765350342,5.051524329437538,10.621959447860718,366.01171875,7.739625140235768,59.187830188679186,52,1,,45,45,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_9.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_9_final.txt
qwen2.5-3b,warm,0.5,10,1.6488075256347656,5.056704068621221,11.932185649871826,366.015625,6.845116170698745,59.16838333333325,59,1,,52,52,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_10.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_5_10_final.txt
