model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-3b,warm,1.0,6,0.11733365058898926,9.311709778902763,10.319376945495605,3756.51171875,327.4924082520231,73.9229999999999,51,1,,94,95,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_6.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_6_final.txt
qwen2.5-3b,warm,1.0,7,0.12939214706420898,9.348105209184887,8.687001705169678,3762.9375,327.5693535273608,73.92299999999992,43,1,,79,80,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_7.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_7_final.txt
qwen2.5-3b,warm,1.0,8,0.11875438690185547,9.373990203644581,7.586007118225098,3762.9375,327.7584573664996,74.06873684210527,37,1,,69,70,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_8.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_8_final.txt
qwen2.5-3b,warm,1.0,9,0.12008857727050781,9.33741460258612,8.259191274642944,3762.9375,327.08488932134577,74.12078571428567,41,1,,75,76,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_9.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_9_final.txt
qwen2.5-3b,warm,1.0,10,0.11762642860412598,9.413630028538428,6.066211938858032,3762.9375,327.3288144105501,74.54825806451613,30,1,,55,56,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_10.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_10_final.txt
qwen2.5-3b,warm,1.0,1,0.12174344062805176,9.413452482539222,6.495257139205933,3749.30859375,327.5764492545148,70.9572121212121,32,1,,59,60,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_1.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_1_final.txt
qwen2.5-3b,warm,1.0,2,0.1236886978149414,9.254572972763032,13.30614161491394,3749.30859375,326.8835728254098,72.0899104477612,66,1,,121,122,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_2.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_2_final.txt
qwen2.5-3b,warm,1.0,3,0.12453365325927734,9.23965027923693,9.648515939712524,3756.51171875,326.30081261154675,72.94342857142857,48,1,,87,88,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_3.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_3_final.txt
qwen2.5-3b,warm,1.0,4,0.12244510650634766,9.373139798981125,7.270334720611572,3756.51171875,327.17925036327546,73.14967567567567,36,1,,66,67,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_4.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_4_final.txt
qwen2.5-3b,warm,1.0,5,0.11892843246459961,9.329872167732876,9.336353063583374,3756.51171875,327.480823494544,73.74625531914884,46,1,,85,86,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_5.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_5_final.txt
qwen2.5-3b,warm,1.0,6,0.11733365058898926,9.311709778902763,10.319376945495605,3756.51171875,327.4924082520231,73.9229999999999,51,1,,94,95,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_6.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_6_final.txt
qwen2.5-3b,warm,1.0,7,0.12939214706420898,9.348105209184887,8.687001705169678,3762.9375,327.5693535273608,73.92299999999992,43,1,,79,80,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_7.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_7_final.txt
qwen2.5-3b,warm,1.0,8,0.11875438690185547,9.373990203644581,7.586007118225098,3762.9375,327.7584573664996,74.06873684210527,37,1,,69,70,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_8.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_8_final.txt
qwen2.5-3b,warm,1.0,9,0.12008857727050781,9.33741460258612,8.259191274642944,3762.9375,327.08488932134577,74.12078571428567,41,1,,75,76,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_9.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_9_final.txt
qwen2.5-3b,warm,1.0,10,0.11762642860412598,9.413630028538428,6.066211938858032,3762.9375,327.3288144105501,74.54825806451613,30,1,,55,56,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_10.log,/dev/shm/results_cpu_pinning/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_1_0_10_final.txt
